wkt_geom,mindate,maxdate,latitude,longitude,altitude,crop,intercrop,sampleID,LC,CT,IRR,valtime
Point (9.29827899999999907 4.17840999999999951),06/04/2017,06/04/2017,4.17841,9.298279,564,maize,africannightshade,2017_CM_GARDIAN-62_POINT_110258,11,9998,0,06/04/2017
Point (9.29908000000000001 4.18376999999999999),06/04/2017,06/04/2017,4.18377,9.29908,563,maize,-,2017_CM_GARDIAN-62_POINT_110259,11,1200,0,06/04/2017
Point (9.29633000000000109 4.19059999999999988),06/04/2017,06/04/2017,4.1906,9.29633,557,maize,-,2017_CM_GARDIAN-62_POINT_110260,11,1200,0,06/04/2017
Point (9.45986000000000082 4.5849000000000002),06/05/2017,06/05/2017,4.5849,9.45986,186,maize,curcubite,2017_CM_GARDIAN-62_POINT_110261,11,9998,0,06/05/2017
Point (9.47333000000000069 4.57831999999999972),06/05/2017,06/05/2017,4.57832,9.47333,159,maize,curcubite/cassava,2017_CM_GARDIAN-62_POINT_110262,11,9998,0,06/05/2017
Point (9.42721000000000053 4.6311599999999995),06/05/2017,06/05/2017,4.63116,9.42721,246,maize,curcubite,2017_CM_GARDIAN-62_POINT_110263,11,9998,0,06/05/2017
Point (9.37733000000000061 4.60879999999999956),06/05/2017,06/05/2017,4.6088,9.37733,238,maize,curcubit,2017_CM_GARDIAN-62_POINT_110264,11,9998,0,06/05/2017
Point (9.47888000000000019 4.6411699999999998),06/05/2017,06/05/2017,4.64117,9.47888,240,maize,curcubit,2017_CM_GARDIAN-62_POINT_110265,11,9998,0,06/05/2017
Point (9.30837000000000003 5.76522999999999985),06/06/2017,06/06/2017,5.76523,9.30837,58,maize,curcubits,2017_CM_GARDIAN-62_POINT_110266,11,9998,0,06/06/2017
Point (9.29471999999999987 5.76674000000000042),06/06/2017,06/06/2017,5.76674,9.29472,87,maize,curcubits(egussi),2017_CM_GARDIAN-62_POINT_110267,11,9998,0,06/06/2017
Point (9.30212000000000039 5.71484000000000059),06/06/2017,06/06/2017,5.71484,9.30212,115,maize,curcubits,2017_CM_GARDIAN-62_POINT_110268,11,9998,0,06/06/2017
Point (9.98770000000000024 5.85090999999999983),06/06/2017,06/06/2017,5.85091,9.9877,162,maize,curcubits,2017_CM_GARDIAN-62_POINT_110269,11,9998,0,06/06/2017
Point (9.40980000000000061 5.69916999999999963),06/06/2017,06/06/2017,5.69917,9.4098,139,maize,curcubits,2017_CM_GARDIAN-62_POINT_110270,11,9998,0,06/06/2017
Point (10.1872000000000007 5.99120000000000008),06/07/2017,06/07/2017,5.9912,10.1872,1248,maize,bean/oilpalm,2017_CM_GARDIAN-62_POINT_110271,10,9998,0,06/07/2017
Point (10.23597000000000001 6.04101999999999961),06/07/2017,06/07/2017,6.04102,10.23597,1258,maize,beans/cocyam/plantain,2017_CM_GARDIAN-62_POINT_110272,11,9998,0,06/07/2017
Point (10.25316000000000116 6.00534999999999997),06/07/2017,06/07/2017,6.00535,10.25316,1348,maize,-,2017_CM_GARDIAN-62_POINT_110273,11,1200,0,06/07/2017
Point (10.29062000000000054 6.00480999999999998),06/07/2017,06/07/2017,6.00481,10.29062,1801,maize,elephantgrasses/maize,2017_CM_GARDIAN-62_POINT_110274,11,9998,0,06/07/2017
Point (10.31610000000000049 6.00680999999999976),06/07/2017,06/07/2017,6.00681,10.3161,1690,maize,bean,2017_CM_GARDIAN-62_POINT_110275,11,9998,0,06/07/2017
Point (10.65301000000000009 6.16753000000000018),06/08/2017,06/08/2017,6.16753,10.65301,1889,maize,bean/potato/yam,2017_CM_GARDIAN-62_POINT_110276,11,9998,0,06/08/2017
Point (10.62853999999999921 6.13839000000000024),06/08/2017,06/08/2017,6.13839,10.62854,1642,maize,bean/potato,2017_CM_GARDIAN-62_POINT_110277,11,9998,0,06/08/2017
Point (10.69735999999999976 6.24981999999999971),06/08/2017,06/08/2017,6.24982,10.69736,1993,maize,bean/potato,2017_CM_GARDIAN-62_POINT_110278,11,9998,0,06/08/2017
Point (10.70547000000000004 6.31339000000000006),06/08/2017,06/08/2017,6.31339,10.70547,1110,maize,bean/banana,2017_CM_GARDIAN-62_POINT_110279,10,9998,0,06/08/2017
Point (10.77746999999999922 6.30093000000000014),06/08/2017,06/08/2017,6.30093,10.77747,2075,maize,bean,2017_CM_GARDIAN-62_POINT_110280,11,9998,0,06/08/2017
Point (10.60125999999999991 6.04443000000000019),06/09/2017,06/09/2017,6.04443,10.60126,1281,maize,-,2017_CM_GARDIAN-62_POINT_110281,11,1200,0,06/09/2017
Point (10.510489999999999 6.03786000000000023),06/09/2017,06/09/2017,6.03786,10.51049,1199,maize,groundnut/bean/imperatacylindrica,2017_CM_GARDIAN-62_POINT_110282,11,9998,0,06/09/2017
Point (10.446769999999999 6.07003000000000004),06/09/2017,06/09/2017,6.07003,10.44677,1206,maize,bean,2017_CM_GARDIAN-62_POINT_110283,11,9998,0,06/09/2017
Point (10.413689999999999 5.98641999999999985),06/09/2017,06/09/2017,5.98642,10.41369,1187,maize,-,2017_CM_GARDIAN-62_POINT_110284,11,1200,0,06/09/2017
Point (10.36678000000000033 5.99761999999999951),06/09/2017,06/09/2017,5.99762,10.36678,1197,maize,bean,2017_CM_GARDIAN-62_POINT_110285,11,9998,0,06/09/2017
Point (11.56241999999999948 3.46030999999999977),28/02/2017,28/02/2017,3.46031,11.56242,1946,maize,-,2017_CM_GARDIAN-62_POINT_110286,11,1200,0,28/02/2017
Point (11.56329999999999991 3.46536999999999962),01/03/2017,01/03/2017,3.46537,11.5633,642,maize,-,2017_CM_GARDIAN-62_POINT_110287,11,1200,0,01/03/2017
Point (11.54302000000000028 3.46284000000000036),01/03/2017,01/03/2017,3.46284,11.54302,655,maize,-,2017_CM_GARDIAN-62_POINT_110288,11,1200,0,01/03/2017
Point (11.54255999999999993 3.47866999999999971),01/03/2017,01/03/2017,3.47867,11.54256,614,maize,-,2017_CM_GARDIAN-62_POINT_110289,11,1200,0,01/03/2017
Point (11.55588999999999977 3.46930999999999967),01/03/2017,01/03/2017,3.46931,11.55589,650,maize,-,2017_CM_GARDIAN-62_POINT_110290,11,1200,0,01/03/2017
Point (11.31756000000000029 2.91007000000000016),03/03/2017,03/03/2017,2.91007,11.31756,612,maize,-,2017_CM_GARDIAN-62_POINT_110291,11,1200,0,03/03/2017
Point (11.4538499999999992 2.95794999999999986),03/03/2017,03/03/2017,2.95795,11.45385,700,maize,-,2017_CM_GARDIAN-62_POINT_110292,11,1200,0,03/03/2017
Point (11.39991000000000021 2.94749000000000017),03/03/2017,03/03/2017,2.94749,11.39991,681,maize,-,2017_CM_GARDIAN-62_POINT_110293,11,1200,0,03/03/2017
Point (11.40039999999999942 2.94797999999999982),21/04/2017,21/04/2017,2.94798,11.4004,730,maize,-,2017_CM_GARDIAN-62_POINT_110294,11,1200,0,21/04/2017
Point (11.78728000000000087 2.94505000000000017),03/03/2017,03/03/2017,2.94505,11.78728,671,maize,-,2017_CM_GARDIAN-62_POINT_110295,11,1200,0,03/03/2017
Point (11.68151000000000117 2.97794000000000025),03/03/2017,03/03/2017,2.97794,11.68151,679,maize,-,2017_CM_GARDIAN-62_POINT_110296,11,1200,0,03/03/2017
Point (11.84621999999999886 2.94154999999999989),03/03/2017,03/03/2017,2.94155,11.84622,724,maize,-,2017_CM_GARDIAN-62_POINT_110297,11,1200,0,03/03/2017
Point (11.79560000000000031 2.94660999999999973),03/03/2017,03/03/2017,2.94661,11.7956,672,maize,-,2017_CM_GARDIAN-62_POINT_110298,11,1200,0,03/03/2017
Point (11.79772999999999961 2.94844000000000017),03/03/2017,03/03/2017,2.94844,11.79773,668,maize,-,2017_CM_GARDIAN-62_POINT_110299,11,1200,0,03/03/2017
Point (12.35567999999999955 3.11370999999999976),02/03/2017,02/03/2017,3.11371,12.35568,583,maize,-,2017_CM_GARDIAN-62_POINT_110300,11,1200,0,02/03/2017
Point (12.06098999999999855 3.12979000000000029),02/03/2017,02/03/2017,3.12979,12.06099,655,maize,-,2017_CM_GARDIAN-62_POINT_110301,11,1200,0,02/03/2017
Point (12.06341999999999892 3.12874000000000008),02/03/2017,02/03/2017,3.12874,12.06342,663,maize,-,2017_CM_GARDIAN-62_POINT_110302,11,1200,0,02/03/2017
Point (11.80161000000000016 3.29806999999999961),02/03/2017,02/03/2017,3.29807,11.80161,653,maize,-,2017_CM_GARDIAN-62_POINT_110303,11,1200,0,02/03/2017
Point (11.82648999999999972 3.31570999999999971),02/03/2017,02/03/2017,3.31571,11.82649,564,maize,-,2017_CM_GARDIAN-62_POINT_110304,11,1200,0,02/03/2017
Point (11.83223000000000091 3.32140999999999975),02/03/2017,02/03/2017,3.32141,11.83223,663,maize,-,2017_CM_GARDIAN-62_POINT_110305,11,1200,0,02/03/2017
Point (11.7979099999999999 3.30623000000000022),02/03/2017,02/03/2017,3.30623,11.79791,652,maize,-,2017_CM_GARDIAN-62_POINT_110306,11,1200,0,02/03/2017
Point (11.79997999999999969 3.29399999999999959),02/03/2017,02/03/2017,3.294,11.79998,646,maize,-,2017_CM_GARDIAN-62_POINT_110307,11,1200,0,02/03/2017
Point (11.13475999999999999 2.84399000000000024),04/03/2017,04/03/2017,2.84399,11.13476,555,maize,-,2017_CM_GARDIAN-62_POINT_110308,11,1200,0,04/03/2017
Point (11.13132000000000055 2.84604999999999997),04/03/2017,04/03/2017,2.84605,11.13132,550,maize,-,2017_CM_GARDIAN-62_POINT_110309,11,1200,0,04/03/2017
Point (11.131219999999999 2.84560999999999975),04/03/2017,04/03/2017,2.84561,11.13122,586,maize,-,2017_CM_GARDIAN-62_POINT_110310,11,1200,0,04/03/2017
Point (11.11919999999999931 2.86047999999999991),04/03/2017,04/03/2017,2.86048,11.1192,579,maize,-,2017_CM_GARDIAN-62_POINT_110311,11,1200,0,04/03/2017
Point (11.11743000000000059 2.85777999999999999),04/03/2017,04/03/2017,2.85778,11.11743,551,maize,-,2017_CM_GARDIAN-62_POINT_110312,11,1200,0,04/03/2017
Point (11.45043000000000077 2.2944),05/03/2017,05/03/2017,2.2944,11.45043,581,maize,-,2017_CM_GARDIAN-62_POINT_110313,11,1200,0,05/03/2017
Point (11.45307000000000031 2.33638000000000012),05/03/2017,05/03/2017,2.33638,11.45307,559,maize,-,2017_CM_GARDIAN-62_POINT_110314,11,1200,0,05/03/2017
Point (14.31302000000000163 6.37253999999999987),12/03/2017,12/03/2017,6.37254,14.31302,994,maize,-,2017_CM_GARDIAN-62_POINT_110315,11,1200,0,12/03/2017
Point (14.32037999999999833 6.3751199999999999),12/03/2017,12/03/2017,6.37512,14.32038,996,maize,-,2017_CM_GARDIAN-62_POINT_110316,11,1200,0,12/03/2017
Point (14.26759999999999984 6.48368000000000055),12/03/2017,12/03/2017,6.48368,14.2676,951,maize,-,2017_CM_GARDIAN-62_POINT_110317,11,1200,0,12/03/2017
Point (14.27539999999999942 6.49611999999999945),12/03/2017,12/03/2017,6.49612,14.2754,952,maize,-,2017_CM_GARDIAN-62_POINT_110318,11,1200,0,12/03/2017
Point (14.2737999999999996 6.49203000000000063),12/03/2017,12/03/2017,6.49203,14.2738,960,maize,-,2017_CM_GARDIAN-62_POINT_110319,11,1200,0,12/03/2017
Point (14.29342000000000112 6.52868000000000048),12/03/2017,12/03/2017,6.52868,14.29342,987,maize,-,2017_CM_GARDIAN-62_POINT_110320,11,1200,0,12/03/2017
Point (14.3600299999999983 6.12044999999999995),11/03/2017,11/03/2017,6.12045,14.36003,933,maize,-,2017_CM_GARDIAN-62_POINT_110321,11,1200,0,11/03/2017
Point (14.24856000000000122 5.04998000000000058),11/03/2017,11/03/2017,5.04998,14.24856,889,maize,-,2017_CM_GARDIAN-62_POINT_110322,11,1200,0,11/03/2017
Point (13.83200000000000074 4.90064999999999973),11/03/2017,11/03/2017,4.90065,13.832,726,maize,-,2017_CM_GARDIAN-62_POINT_110323,11,1200,0,11/03/2017
Point (13.81852000000000125 4.84628000000000014),11/03/2017,11/03/2017,4.84628,13.81852,755,maize,-,2017_CM_GARDIAN-62_POINT_110324,11,1200,0,11/03/2017
Point (13.67079000000000022 4.57186000000000003),10/03/2017,10/03/2017,4.57186,13.67079,648,maize,-,2017_CM_GARDIAN-62_POINT_110325,11,1200,0,10/03/2017
Point (13.60773999999999972 4.60595999999999961),10/03/2017,10/03/2017,4.60596,13.60774,676,maize,-,2017_CM_GARDIAN-62_POINT_110326,11,1200,0,10/03/2017
Point (13.6722999999999999 4.57110000000000039),10/03/2017,10/03/2017,4.5711,13.6723,638,maize,-,2017_CM_GARDIAN-62_POINT_110327,11,1200,0,10/03/2017
Point (13.67262999999999806 4.57108000000000025),10/03/2017,10/03/2017,4.57108,13.67263,651,maize,-,2017_CM_GARDIAN-62_POINT_110328,11,1200,0,10/03/2017
Point (13.66202999999999967 4.56339999999999968),10/03/2017,10/03/2017,4.5634,13.66203,573,maize,-,2017_CM_GARDIAN-62_POINT_110329,11,1200,0,10/03/2017
Point (12.48913999999999902 3.91929000000000016),08/03/2017,08/03/2017,3.91929,12.48914,688,maize,-,2017_CM_GARDIAN-62_POINT_110330,11,1200,0,08/03/2017
Point (12.48967000000000027 3.91626999999999992),08/03/2017,08/03/2017,3.91627,12.48967,813,maize,-,2017_CM_GARDIAN-62_POINT_110331,11,1200,0,08/03/2017
Point (12.47841000000000022 3.92584),08/03/2017,08/03/2017,3.92584,12.47841,624,maize,-,2017_CM_GARDIAN-62_POINT_110332,11,1200,0,08/03/2017
Point (12.47907999999999973 3.92614000000000019),08/03/2017,08/03/2017,3.92614,12.47908,655,maize,-,2017_CM_GARDIAN-62_POINT_110333,11,1200,0,08/03/2017
Point (12.46476000000000006 3.91694000000000031),09/03/2017,09/03/2017,3.91694,12.46476,703,maize,-,2017_CM_GARDIAN-62_POINT_110334,11,1200,0,09/03/2017
Point (12.4590999999999994 3.91193000000000035),09/03/2017,09/03/2017,3.91193,12.4591,661,maize,-,2017_CM_GARDIAN-62_POINT_110335,11,1200,0,09/03/2017
Point (11.5940600000000007 4.46661000000000019),05/03/2017,05/03/2017,4.46661,11.59406,465,maize,-,2017_CM_GARDIAN-62_POINT_110336,11,1200,0,05/03/2017
Point (11.60045999999999999 4.48951000000000011),05/03/2017,05/03/2017,4.48951,11.60046,516,maize,-,2017_CM_GARDIAN-62_POINT_110337,11,1200,0,05/03/2017
Point (11.59394999999999953 4.4633799999999999),05/03/2017,05/03/2017,4.46338,11.59395,492,maize,-,2017_CM_GARDIAN-62_POINT_110338,11,1200,0,05/03/2017
Point (11.59043999999999919 4.48921999999999954),05/03/2017,05/03/2017,4.48922,11.59044,455,maize,-,2017_CM_GARDIAN-62_POINT_110339,11,1200,0,05/03/2017
Point (11.64445000000000086 4.59090000000000042),05/03/2017,05/03/2017,4.5909,11.64445,583,maize,-,2017_CM_GARDIAN-62_POINT_110340,11,1200,0,05/03/2017
Point (11.66843999999999859 4.62866),05/03/2017,05/03/2017,4.62866,11.66844,557,maize,-,2017_CM_GARDIAN-62_POINT_110341,11,1200,0,05/03/2017
Point (9.44256999999999991 4.42441999999999958),01/03/2017,01/03/2017,4.42442,9.44257,200,maize,-,2017_CM_GARDIAN-62_POINT_110342,11,1200,0,01/03/2017
Point (9.44266000000000005 4.42460999999999949),02/03/2017,02/03/2017,4.42461,9.44266,216,maize,-,2017_CM_GARDIAN-62_POINT_110343,11,1200,0,02/03/2017
Point (9.44286000000000136 4.42445000000000022),02/03/2017,02/03/2017,4.42445,9.44286,216,maize,-,2017_CM_GARDIAN-62_POINT_110344,11,1200,0,02/03/2017
Point (9.44319999999999915 4.42429999999999968),02/03/2017,02/03/2017,4.4243,9.4432,216,maize,-,2017_CM_GARDIAN-62_POINT_110345,11,1200,0,02/03/2017
Point (9.37012999999999963 4.32574000000000058),02/03/2017,02/03/2017,4.32574,9.37013,60,maize,-,2017_CM_GARDIAN-62_POINT_110346,11,1200,0,02/03/2017
Point (9.1940299999999997 4.11059000000000019),03/03/2017,03/03/2017,4.11059,9.19403,449,maize,-,2017_CM_GARDIAN-62_POINT_110347,11,1200,0,03/03/2017
Point (9.1939700000000002 4.11076999999999959),03/03/2017,03/03/2017,4.11077,9.19397,458,maize,-,2017_CM_GARDIAN-62_POINT_110348,11,1200,0,03/03/2017
Point (9.20157000000000025 4.12529000000000057),03/03/2017,03/03/2017,4.12529,9.20157,379,maize,-,2017_CM_GARDIAN-62_POINT_110349,11,1200,0,03/03/2017
Point (9.20171000000000028 4.12525000000000031),03/03/2017,03/03/2017,4.12525,9.20171,389,maize,-,2017_CM_GARDIAN-62_POINT_110350,11,1200,0,03/03/2017
Point (9.18591999999999942 4.11146999999999974),03/03/2017,03/03/2017,4.11147,9.18592,478,maize,-,2017_CM_GARDIAN-62_POINT_110351,11,1200,0,03/03/2017
Point (9.27116000000000007 4.36258999999999997),04/03/2017,04/03/2017,4.36259,9.27116,193,maize,-,2017_CM_GARDIAN-62_POINT_110352,11,1200,0,04/03/2017
Point (9.26491000000000042 4.37570000000000014),04/03/2017,04/03/2017,4.3757,9.26491,220,maize,-,2017_CM_GARDIAN-62_POINT_110353,11,1200,0,04/03/2017
Point (9.26440999999999981 4.38030000000000008),04/03/2017,04/03/2017,4.3803,9.26441,227,maize,-,2017_CM_GARDIAN-62_POINT_110354,11,1200,0,04/03/2017
Point (9.26466999999999885 4.37563000000000013),04/03/2017,04/03/2017,4.37563,9.26467,233,maize,-,2017_CM_GARDIAN-62_POINT_110355,11,1200,0,04/03/2017
Point (9.26563999999999943 4.37661999999999995),04/03/2017,04/03/2017,4.37662,9.26564,200,maize,-,2017_CM_GARDIAN-62_POINT_110356,11,1200,0,04/03/2017
Point (9.17341000000000051 5.41176000000000013),05/03/2017,05/03/2017,5.41176,9.17341,131,maize,-,2017_CM_GARDIAN-62_POINT_110357,11,1200,0,05/03/2017
Point (9.17358000000000118 5.41178000000000026),05/03/2017,05/03/2017,5.41178,9.17358,119,maize,-,2017_CM_GARDIAN-62_POINT_110358,11,1200,0,05/03/2017
Point (9.17366999999999955 5.41183000000000014),05/03/2017,05/03/2017,5.41183,9.17367,127,maize,-,2017_CM_GARDIAN-62_POINT_110359,11,1200,0,05/03/2017
Point (9.1735199999999999 5.40018000000000065),05/03/2017,05/03/2017,5.40018,9.17352,125,maize,-,2017_CM_GARDIAN-62_POINT_110360,11,1200,0,05/03/2017
Point (10.1413499999999992 6.02475999999999967),06/03/2017,06/03/2017,6.02476,10.14135,1221,maize,-,2017_CM_GARDIAN-62_POINT_110361,11,1200,0,06/03/2017
Point (10.16043999999999947 6.00548000000000037),06/03/2017,06/03/2017,6.00548,10.16044,1441,maize,-,2017_CM_GARDIAN-62_POINT_110362,11,1200,0,06/03/2017
Point (10.15515000000000079 6.00509999999999966),06/03/2017,06/03/2017,6.0051,10.15515,1434,maize,-,2017_CM_GARDIAN-62_POINT_110363,11,1200,0,06/03/2017
Point (10.12518000000000029 6.00195999999999952),06/03/2017,06/03/2017,6.00196,10.12518,1239,maize,-,2017_CM_GARDIAN-62_POINT_110364,11,1200,0,06/03/2017
Point (10.11532000000000053 5.59506999999999977),06/03/2017,06/03/2017,5.59507,10.11532,1253,maize,-,2017_CM_GARDIAN-62_POINT_110365,11,1200,0,06/03/2017
Point (10.27591999999999928 6.04513999999999996),03/07/2017,03/07/2017,6.04514,10.27592,1185,maize,-,2017_CM_GARDIAN-62_POINT_110366,11,1200,0,03/07/2017
Point (10.27591999999999928 6.04513999999999996),07/03/2017,07/03/2017,6.04514,10.27592,1185,maize,-,2017_CM_GARDIAN-62_POINT_110367,11,1200,0,07/03/2017
Point (10.27541000000000082 6.04471000000000025),07/03/2017,07/03/2017,6.04471,10.27541,1159,maize,-,2017_CM_GARDIAN-62_POINT_110368,11,1200,0,07/03/2017
Point (10.28007999999999988 6.05018999999999973),07/03/2017,07/03/2017,6.05019,10.28008,1180,maize,-,2017_CM_GARDIAN-62_POINT_110369,11,1200,0,07/03/2017
Point (10.27186000000000021 6.04264000000000046),07/03/2017,07/03/2017,6.04264,10.27186,1162,maize,-,2017_CM_GARDIAN-62_POINT_110370,11,1200,0,07/03/2017
Point (10.26456999999999908 6.03493999999999975),07/03/2017,07/03/2017,6.03494,10.26457,1180,maize,-,2017_CM_GARDIAN-62_POINT_110371,11,1200,0,07/03/2017
Point (10.42221999999999937 6.14598000000000066),08/03/2017,08/03/2017,6.14598,10.42222,1891,maize,-,2017_CM_GARDIAN-62_POINT_110372,11,1200,0,08/03/2017
Point (10.4315800000000003 6.20354000000000028),08/03/2017,08/03/2017,6.20354,10.43158,1898,maize,-,2017_CM_GARDIAN-62_POINT_110373,11,1200,0,08/03/2017
Point (10.4328599999999998 6.20350000000000001),08/03/2017,08/03/2017,6.2035,10.43286,1891,maize,-,2017_CM_GARDIAN-62_POINT_110374,11,1200,0,08/03/2017
Point (10.38018000000000107 6.04556999999999967),08/03/2017,08/03/2017,6.04557,10.38018,1639,maize,-,2017_CM_GARDIAN-62_POINT_110375,11,1200,0,08/03/2017
Point (11.33458999999999861 5.28303999999999974),09/03/2017,09/03/2017,5.28304,11.33459,1002,maize,-,2017_CM_GARDIAN-62_POINT_110376,11,1200,0,09/03/2017
Point (10.36185000000000045 5.29326000000000008),09/03/2017,09/03/2017,5.29326,10.36185,1026,maize,-,2017_CM_GARDIAN-62_POINT_110377,11,1200,0,09/03/2017
Point (10.36421999999999954 5.30128999999999984),09/03/2017,09/03/2017,5.30129,10.36422,1031,maize,-,2017_CM_GARDIAN-62_POINT_110378,11,1200,0,09/03/2017
Point (10.40334000000000003 5.34283999999999981),09/03/2017,09/03/2017,5.34284,10.40334,1045,maize,-,2017_CM_GARDIAN-62_POINT_110379,11,1200,0,09/03/2017
Point (10.42013000000000034 5.35334000000000021),09/03/2017,09/03/2017,5.35334,10.42013,1129,maize,-,2017_CM_GARDIAN-62_POINT_110380,11,1200,0,09/03/2017
Point (9.59295999999999971 5.12516999999999978),10/03/2017,10/03/2017,5.12517,9.59296,705,maize,-,2017_CM_GARDIAN-62_POINT_110381,11,1200,0,10/03/2017
Point (9.58502999999999972 5.14143000000000061),10/03/2017,10/03/2017,5.14143,9.58503,708,maize,-,2017_CM_GARDIAN-62_POINT_110382,11,1200,0,10/03/2017
Point (9.58344999999999914 5.17149999999999999),10/03/2017,10/03/2017,5.1715,9.58345,719,maize,-,2017_CM_GARDIAN-62_POINT_110383,11,1200,0,10/03/2017
Point (9.58407000000000053 5.17079000000000022),10/03/2017,10/03/2017,5.17079,9.58407,721,maize,-,2017_CM_GARDIAN-62_POINT_110384,11,1200,0,10/03/2017
Point (10.00471999999999895 5.2000800000000007),10/03/2017,10/03/2017,5.20008,10.00472,730,maize,-,2017_CM_GARDIAN-62_POINT_110385,11,1200,0,10/03/2017
Point (10.03543999999999947 5.26377000000000006),11/03/2017,11/03/2017,5.26377,10.03544,1383,maize,-,2017_CM_GARDIAN-62_POINT_110386,11,1200,0,11/03/2017
Point (10.0410699999999995 5.26286999999999949),11/03/2017,11/03/2017,5.26287,10.04107,1410,maize,-,2017_CM_GARDIAN-62_POINT_110387,11,1200,0,11/03/2017
Point (10.08051999999999992 5.29464000000000024),11/03/2017,11/03/2017,5.29464,10.08052,1495,maize,-,2017_CM_GARDIAN-62_POINT_110388,11,1200,0,11/03/2017
Point (10.13090000000000046 5.29208000000000034),11/03/2017,11/03/2017,5.29208,10.1309,1377,maize,-,2017_CM_GARDIAN-62_POINT_110389,11,1200,0,11/03/2017
Point (10.15516000000000041 5.29318000000000044),11/03/2017,11/03/2017,5.29318,10.15516,1432,maize,-,2017_CM_GARDIAN-62_POINT_110390,11,1200,0,11/03/2017
Point (10.21067000000000036 5.31113000000000035),12/03/2017,12/03/2017,5.31113,10.21067,1275,maize,-,2017_CM_GARDIAN-62_POINT_110391,11,1200,0,12/03/2017
Point (10.2112999999999996 5.31123999999999974),12/03/2017,12/03/2017,5.31124,10.2113,1271,maize,-,2017_CM_GARDIAN-62_POINT_110392,11,1200,0,12/03/2017
